clone_id,antigen,screen_batch,signal_rep1,signal_rep2,signal_rep3,true_binder,signal_mean
Ab0001,AgA,Screen1,0.1486795942247457,-0.16138224482483235,-0.10715435304002796,FALSE,-0.039952334546704875
Ab0002,AgA,Screen1,0.5001263885746873,-0.11383608633886005,-0.4522760799547387,FALSE,-0.02199525923963715
Ab0003,AgA,Screen2,3.023323469305236,3.1137973766553997,3.861473307467331,FALSE,3.332864717809322
Ab0004,AgA,Screen1,1.1113279390563844,1.2650573505170517,0.9891324387219719,TRUE,1.121839242765136
Ab0005,AgA,Screen2,3.680929067710764,3.8774959735972896,3.9894784919431077,TRUE,3.8493011777503874
Ab0006,AgA,Screen1,-1.0018187484482746,-0.5186343096970814,-0.9793464274718651,FALSE,-0.8332664952057404
Ab0007,AgA,Screen1,-0.5163247406635281,-0.24201320615712665,-0.20066808135857814,FALSE,-0.3196686760597443
Ab0008,AgA,Screen1,1.9254220166421885,1.5284352466092692,1.1694131979919082,FALSE,1.5410901537477886
Ab0009,AgA,Screen2,1.4697512044214345,1.4910542188099278,1.4576967348466165,TRUE,1.4728340526926598
Ab0010,AgA,Screen1,1.249147105571127,1.4468384248144062,1.0229613215760567,FALSE,1.2396489506538633
Ab0011,AgA,Screen1,-0.41244484176807056,-0.24967213590367288,0.1454561223318951,FALSE,-0.1722202851132828
Ab0012,AgA,Screen1,1.4633232191611203,1.1618392085775608,1.27822855258357,FALSE,1.3011303267740837
Ab0013,AgA,Screen2,0.43715585727255213,0.8889225876420292,0.335701209243233,FALSE,0.5539265513859382
Ab0014,AgA,Screen2,2.6899430607351804,2.5766022764616703,2.8949780891723575,TRUE,2.7205078087897356
Ab0015,AgA,Screen1,0.47293770396636936,1.592101411078556,0.8322939148547093,FALSE,0.9657776766332115
Ab0016,AgA,Screen2,1.666499377586679,1.0655533826300978,1.1643327445674374,FALSE,1.2987951682614047
Ab0017,AgA,Screen1,0.41990034917257124,0.7485292016050409,0.13590752521623634,FALSE,0.4347790253312828
Ab0018,AgA,Screen1,0.4003973162588693,0.38713733373924986,-0.2605303740764544,FALSE,0.17566809197388825
Ab0019,AgA,Screen2,0.2404319454456867,0.4866198170598306,0.525280016493485,FALSE,0.41744392633300076
Ab0020,AgA,Screen1,1.6524037946470191,1.6497227704253392,1.2951029060643433,TRUE,1.5324098237122339
Ab0021,AgA,Screen2,1.0636597405355963,1.1581811757049993,1.3123074184181578,FALSE,1.178049444886251
Ab0022,AgA,Screen1,2.116175425937572,1.859923291082215,1.5511222200931336,TRUE,1.84240697903764
Ab0023,AgA,Screen2,0.8119236533052112,1.4801559220369525,0.10181490732730003,FALSE,0.7979648275564878
